customer_id,age,gender,city,income_bracket,education,marital_status,family_size,profession,registration_date,mobile_number,email,is_premium_member
CUST_000001,39,Male,Mumbai,Medium,Post Graduate,Single,1,IT Professional,2021-07-23 02:39:09.014991,+917220411349,cust_000001@gmail.com,True
CUST_000002,41,Female,Bangalore,Medium,Post Graduate,Single,2,Healthcare,2024-07-08 02:39:09.015282,+917548953305,cust_000002@gmail.com,False
CUST_000003,20,Female,Bangalore,Low,High School,Married,1,Education,2024-02-18 02:39:09.015449,+918554157251,cust_000003@yahoo.com,True
CUST_000004,21,Female,Lucknow,Medium,High School,Married,2,IT Professional,2022-11-29 02:39:09.015601,+917051335143,cust_000004@gmail.com,False
CUST_000005,60,Male,Ahmedabad,Medium,High School,Single,1,IT Professional,2021-12-13 02:39:09.015752,+919405125078,cust_000005@gmail.com,True
CUST_000006,34,Male,Kolkata,Low,Graduate,Married,1,IT Professional,2022-04-15 02:39:09.015905,+918407676899,cust_000006@gmail.com,False
CUST_000007,35,Male,Jaipur,Low,High School,Married,3,Government,2024-11-11 02:39:09.016112,+918912624476,cust_000007@gmail.com,False
CUST_000008,40,Male,Chennai,Medium,Graduate,Married,5,Healthcare,2023-11-16 02:39:09.016270,+917717071076,cust_000008@yahoo.com,True
CUST_000009,46,Male,Pune,Low,Graduate,Single,1,Business,2025-07-02 02:39:09.016419,+918683301846,cust_000009@yahoo.com,False
CUST_000010,59,Female,Pune,Low,Post Graduate,Married,5,Government,2023-08-26 02:39:09.016563,+919389874940,cust_000010@yahoo.com,True
CUST_000011,34,Female,Mumbai,Medium,Graduate,Single,2,Homemaker,2024-11-04 02:39:09.016709,+919880008090,cust_000011@gmail.com,False
CUST_000012,19,Male,Mumbai,Low,High School,Married,4,Business,2024-04-19 02:39:09.016892,+919389762636,cust_000012@company.com,True
CUST_000013,28,Male,Mumbai,Medium,Post Graduate,Single,2,Retired,2021-08-08 02:39:09.017041,+918311332343,cust_000013@gmail.com,False
CUST_000014,33,Female,Hyderabad,Low,Graduate,Married,1,Education,2022-03-18 02:39:09.017185,+918692990521,cust_000014@gmail.com,True
CUST_000015,37,Female,Hyderabad,Low,Professional,Single,1,Retired,2021-10-14 02:39:09.017329,+918539527320,cust_000015@gmail.com,True
